"name","role","custom_link","linkedin","organising_comm","exec_comm","program_comm"
"James Black","Roche / Genentech","https://epijim.uk","epijim",TRUE,FALSE,FALSE
"Paulo Bargo","Janssen","","paulo-bargo-phd-10590830",TRUE,FALSE,FALSE
"Phil Bowsher","RStudio","","philip-bowsher-67151015",TRUE,FALSE,FALSE
"Ellis Hughes","Fred Hutch","","ellishughes",TRUE,FALSE,FALSE
"Edward Lauzier","Merck","","edlauzier",TRUE,FALSE,FALSE
"Harvey Lieberman","Novartis","","harvey-lieberman",TRUE,FALSE,FALSE
"Elena Rantou","FDA","","elena-rantou-79a0a339",TRUE,FALSE,FALSE
"Volha Tryputsen","Janssen","","volha-tryputsen-66566839",TRUE,FALSE,FALSE
"Bella Feng","EQRx","","bellafeng",TRUE,FALSE,FALSE
"Devin Incerti","Roche / Genentech","https://devinincerti.com/","devinincerti",TRUE,FALSE,FALSE
"Michael Lawrence","Roche / Genentech","","michael-lawrence-74a9b482",TRUE,FALSE,FALSE
"Melvin Munsaka","AbbVie","","melvin-munsaka-phd-72461bb",TRUE,FALSE,FALSE
"Paul Schuette","FDA","","paul-schuette-40aa838",TRUE,FALSE,FALSE
"Michael Blanks","Beigene","","michaelblanks",TRUE,FALSE,FALSE
"Elizabeth Hess","Harvard University","","lizhess",TRUE,FALSE,FALSE
"Reinhold Koch","Roche / Genentech","","reinhold-koch-b8970883",TRUE,FALSE,FALSE
"Min Lee","Amgen","","min-lee-is",TRUE,FALSE,FALSE
"Eric Nantz","Eli Lilly","http://www.r-podcast.org","eric-nantz-6621617",TRUE,FALSE,FALSE
"John Sims","Pfizer","","freestyle35",TRUE,FALSE,FALSE
"Juliane Manitz","EMD Serono","","juliane-manitz-943178127",TRUE,FALSE,FALSE
"Daniella Mark","Procognia","","daniellamark",TRUE,FALSE,FALSE
